,Date,rel_low,rel_high,rel_open,rel_close,rel_volume,time,low,high,open,close,volume
7553,02_26_2020,-1.0,-1.0,1.0,-1.0,-1.0,15:30:00,8790.0,8795.01,8795.0,8794.53,34.10173587
7554,02_26_2020,-1.0,-1.0,1.0,-1.0,-1.0,15:35:00,8794.52,8818.76,8794.53,8805.06,78.82808393
7555,02_26_2020,-1.0,-1.0,1.0,-1.0,-1.0,15:40:00,8805.03,8830.66,8805.29,8819.09,30.51953457
7556,02_26_2020,-1.0,-1.0,1.0,-1.0,-1.0,15:45:00,8800.25,8819.09,8819.09,8803.75,11.29306899
7557,02_26_2020,-1.0,-1.0,1.0,-1.0,-1.0,15:50:00,8782.08,8807.69,8803.75,8790.12,19.93621805
7558,02_26_2020,-1.0,-1.0,1.0,-1.0,-1.0,15:55:00,8780.16,8794.65,8790.58,8780.97,23.98527017
7559,02_26_2020,-1.0,-1.0,1.0,-1.0,-1.0,16:00:00,8775.88,8816.71,8780.37,8811.73,114.32302064
7560,02_26_2020,-1.0,-1.0,1.0,-1.0,-1.0,16:05:00,8805.36,8819.01,8809.7,8809.12,23.31358814
7561,02_26_2020,-1.0,-1.0,1.0,-1.0,-1.0,16:10:00,8785.82,8822.56,8809.24,8787.49,30.98879523
7562,02_26_2020,-1.0,-1.0,1.0,-1.0,-1.0,16:15:00,8786.74,8797.0,8787.49,8794.9,22.7800244
7563,02_26_2020,-1.0,-1.0,1.0,-1.0,-1.0,16:20:00,8791.18,8794.91,8794.91,8791.78,31.90264183
7564,02_26_2020,-1.0,-1.0,1.0,-1.0,-1.0,16:25:00,8791.78,8814.45,8791.79,8814.45,22.88186559
7565,02_26_2020,-1.0,-1.0,1.0,-1.0,-1.0,16:30:00,8805.84,8829.03,8814.45,8821.22,31.36490431
7566,02_26_2020,-1.0,-1.0,1.0,-1.0,-1.0,16:35:00,8804.16,8821.22,8821.22,8812.55,35.73082586
7567,02_26_2020,-1.0,-1.0,1.0,-1.0,-1.0,16:40:00,8790.0,8814.74,8812.55,8802.03,70.95352661
7568,02_26_2020,-1.0,-1.0,1.0,-1.0,-1.0,16:45:00,8786.44,8801.91,8800.63,8795.4,36.92956864
7569,02_26_2020,-1.0,-1.0,1.0,-1.0,-1.0,16:50:00,8785.11,8806.05,8795.4,8793.7,38.75498001
7570,02_26_2020,-1.0,-1.0,1.0,-1.0,-1.0,16:55:00,8778.3,8793.7,8793.7,8778.3,18.56019718
7571,02_27_2020,1.0,-1.0,-1.0,-1.0,-1.0,17:00:00,8784.2,8821.24,8814.9,8786.83,37.18892842
7572,02_27_2020,1.0,-1.0,-1.0,-1.0,-1.0,17:05:00,8786.83,8803.2,8786.83,8802.5,11.60646776
7573,02_27_2020,1.0,-1.0,-1.0,-1.0,-1.0,17:10:00,8795.63,8816.68,8802.5,8811.21,28.02843221
7574,02_27_2020,1.0,-1.0,-1.0,-1.0,-1.0,17:15:00,8810.0,8829.85,8811.21,8826.35,33.90653023
7575,02_27_2020,1.0,-1.0,-1.0,-1.0,-1.0,17:20:00,8813.45,8829.78,8826.35,8824.73,29.06829068
7576,02_27_2020,1.0,-1.0,-1.0,-1.0,-1.0,17:25:00,8824.73,8883.66,8824.74,8869.29,92.15026277
7577,02_27_2020,1.0,-1.0,-1.0,-1.0,-1.0,17:30:00,8865.87,8899.94,8869.29,8866.93,78.44684607
7578,02_27_2020,1.0,-1.0,-1.0,-1.0,-1.0,17:35:00,8856.66,8868.17,8867.65,8863.29,19.04240815
7579,02_27_2020,1.0,-1.0,-1.0,-1.0,-1.0,17:40:00,8847.46,8875.86,8863.28,8848.39,28.18374472
7580,02_27_2020,1.0,-1.0,-1.0,-1.0,-1.0,17:45:00,8847.33,8868.94,8848.39,8847.33,17.19180839
7581,02_27_2020,1.0,-1.0,-1.0,-1.0,-1.0,17:50:00,8844.97,8869.33,8847.33,8867.06,25.57624803
7582,02_27_2020,1.0,-1.0,-1.0,-1.0,-1.0,17:55:00,8851.69,8866.98,8866.98,8856.66,13.9736624
7583,02_27_2020,1.0,-1.0,-1.0,-1.0,-1.0,18:00:00,8839.38,8856.94,8856.66,8840.27,11.15791362
